Sta_i Sta_j latt_i long_i latt_j long_j dist_km corr_window period waveType phase_vel uncertainty
SUR SWZ -32.3797 20.8117 -27.182 25.332 723.00409995589 7242 5 L 3.19659525043121 0.0251083857976031
SUR HVD -32.3797 20.8117 -30.605 25.497 486.637141966069 7026 5 L 3.61604467614664 0.0473288848902729
SUR POGA -32.3797 20.8117 -27.346 31.707 1190.48603092448 6516 5 L 3.351659507063 0.0830828627896291
SUR YNDE -32.3797 20.8117 3.87 11.456 4132.00930694257 6432 5 L 3.58526409115272 0.054972360829114
SUR GRM -32.3797 20.8117 -33.313 26.508 543.133998417478 6390 5 L 3.91719366382981 0.0285839018820374
SUR DESE -32.3797 20.8117 11.118 39.635 5213.70271500423 6120 5 L 3.75720022911072 0.0753729094278495
SUR KUKU -32.3797 20.8117 6.19232 -0.36842 4822.87498139633 5934 5 L 3.38044584697536 0.0567821640725221
SUR MZM -32.3797 20.8117 -11.434 34.035 2686.03091404787 5616 5 L 3.07585428956306 0.00539501186666072
SUR SEK -32.3797 20.8117 -28.323 27.625 794.267718898538 5508 5 L 3.53079755300897 0.0779167230102011
SUR CRLN -32.3797 20.8117 -25.9949 30.0227 1140.79550985996 5424 5 L 3.93401068422918 0.012990620847373
SUR KTWE -32.3797 20.8117 -12.814 28.209 2294.55505218591 5214 5 L 3.56882366087219 0.0469390641058206
SUR CNG -32.3797 20.8117 -26.2917 32.188301 1293.44963501544 5160 5 L 3.01190206950124 0.0337122644398882
SUR SNKL -32.3797 20.8117 -28.27528 27.7714 808.990745579032 5028 5 L 3.16218230819324 0.0794284540683907
SUR BOBN -32.3797 20.8117 -1.66 29.23666 3513.18298890483 4680 5 L 3.3112150420448 0.0528533135506213
SUR SHAI -32.3797 20.8117 5.88136 0.04389 4771.82263579227 4446 5 L 3.16564872949978 0.0601981941401637
SUR GRHM -32.3797 20.8117 -33.2768 26.3766 530.405180826773 4152 5 L 3.26297128454014 0.0654079098476782
SUR LBB -32.3797 20.8117 -11.631 27.485 2397.16019255305 3924 5 L 3.68921450314001 0.074815159282371
SUR PKA -32.3797 20.8117 -29.67 22.757 353.18336389971 3606 5 L 3.4505415985025 0.00838213779969326
SUR NSU -32.3797 20.8117 6.86685 7.41742 4569.78143975793 3360 5 L 3.22897696871682 0.091333736150167
SUR KAD -32.3797 20.8117 10.4305 7.64028 4940.3429739405 3162 5 L 3.15237801896922 0.0825816977489547
SUR MONG -32.3797 20.8117 -15.15 23.09 1922.28190567432 3132 5 L 3.53834243526006 0.0996134716626886
SUR MOPA -32.3797 20.8117 -23.517 31.398 1430.13383732853 3018 5 L 3.07817552875318 0.0442678269775446
SUR GETA -32.3797 20.8117 -2.866 33.241 3516.03993490767 3000 5 L 3.10665277018058 0.0961898080855054
SUR NBI -32.3797 20.8117 -1.2739 36.8037 3829.74248267008 2808 5 L 3.00463422413407 0.0774910464711502
SUR PWET -32.3797 20.8117 -8.28 28.53 2784.95391232107 2790 5 L 3.81730322065343 0.086869470536351
SUR IFE -32.3797 20.8117 7.546667 4.45692 4747.23328487177 2214 5 L 3.08443584551091 0.0399782649098896
SUR MTVE -32.3797 20.8117 -10.25 40.167 3155.74085448841 1458 5 L 3.25987040285065 0.0800068480224308
SUR WDLM -32.3797 20.8117 -26.424 27.422 920.109913004701 1362 5 L 3.43141382746354 0.0910647594429523
SUR HARE -32.3797 20.8117 -17.704 31.009 1921.43098636866 1236 5 L 3.18184702830285 0.026380291652199
SUR TETE -32.3797 20.8117 -16.1467 33.5768 2212.2266255066 930 5 L 3.14553898038472 0.0136068558708664
SUR MSNA -32.3797 20.8117 -22.449 30.024 1427.13984123053 708 5 L 3.86929220764009 0.057970458736557
SUR KIG -32.3797 20.8117 -1.96339 30.06332 3503.54940075468 666 5 L 3.54986020183633 0.0144954798223727
SUR RUDU -32.3797 20.8117 -17.9096 19.7648 1606.42222193631 180 5 L 3.85303111772189 0.0622055131485066
SUR SOE -32.3797 20.8117 -32.712 25.562 447.672066927271 0 5 L 3.35095238089227 0.0513249539867053
SUR PM26 -32.3797 20.8117 32.5245 -4.5659 7662.89029736821 7830 5 L 3.40180803375194 0.00759666916908419
SUR PM28 -32.3797 20.8117 32.2317 -4.6171 7634.86589871394 7830 5 L 3.23991615355366 0.0123318934835166
SUR PM23 -32.3797 20.8117 33.128 -5.03 7741.48878337849 7824 5 L 3.18390778828242 0.0239952525664903
SUR PM32 -32.3797 20.8117 31.568 -4.1914 7551.4091450004 7824 5 L 3.41726706908437 0.00496544303257421
SUR PM29 -32.3797 20.8117 32.0844 -4.3913 7611.53142851537 7818 5 L 3.90271610991528 0.0944787189721646
SUR PM21 -32.3797 20.8117 33.7205 -5.3197 7812.50257651099 7788 5 L 3.49086409246808 0.0489252638400019
SUR PM34 -32.3797 20.8117 31.2912 -4.1068 7519.99279279647 7788 5 L 3.33771940982138 0.0900053846417662
SUR PM35 -32.3797 20.8117 31.0463 -3.9958 7490.85933040787 7782 5 L 3.36924678112022 0.0111202755293787
SUR PM27 -32.3797 20.8117 32.3499 -4.6537 7648.278804091 7770 5 L 3.78025206832114 0.0389738836961253
SUR PM24 -32.3797 20.8117 32.9953 -4.8979 7723.10690716093 7734 5 L 3.24169128591383 0.0403912145588115
SUR PM05 -32.3797 20.8117 35.2134 -5.3368 7965.27915365944 6504 5 L 3.09645452516839 0.0131973292606335
SUR PM11 -32.3797 20.8117 34.9308 -4.3119 7900.21185041598 6504 5 L 3.94205059077549 0.0956134540229802
SUR PM07 -32.3797 20.8117 35.2275 -4.9863 7954.24303832831 6492 5 L 3.57520859507847 0.00597795429471558
SUR PM04 -32.3797 20.8117 35.4026 -5.1525 7978.02265468124 6486 5 L 3.23477991337241 0.0353158571222071
SUR PM25 -32.3797 20.8117 32.8757 -4.888 7710.54363255131 5904 5 L 3.82119404019796 0.00154034376515551
SUR PM30 -32.3797 20.8117 31.8634 -4.2718 7584.56362779857 5718 5 L 3.04302380165781 0.0168990029462704
SUR PM33 -32.3797 20.8117 31.4318 -4.2427 7539.36860131227 5706 5 L 3.64911547495645 0.073172238565867
SUR PM12 -32.3797 20.8117 34.8505 -4.6084 7902.34151511805 5652 5 L 3.64774596313631 0.0450923706430945
SUR PM14 -32.3797 20.8117 34.5522 -5.1267 7890.27571556677 5652 5 L 3.54700889228635 0.0296320805607773
SUR PM15 -32.3797 20.8117 34.4694 -4.6997 7866.55532984965 5652 5 L 3.74469280707416 0.0188955015032545
SUR PM01 -32.3797 20.8117 35.7016 -5.6543 8026.42372002387 5646 5 L 3.68677543336532 0.018351115573727
SUR PM13 -32.3797 20.8117 34.6723 -4.9354 7895.68912153229 5646 5 L 3.36848459649034 0.062561856072969
SUR PM03 -32.3797 20.8117 35.5104 -5.7713 8011.17107099298 5628 5 L 3.78022743515138 0.00811257688657853
SUR PM06 -32.3797 20.8117 35.3086 -5.639 7985.84923318423 5580 5 L 3.92938597096873 0.0775712678608402
SUR PM19 -32.3797 20.8117 34.1427 -5.1308 7848.64163587538 5496 5 L 3.48679163240317 0.0435858588580919
SUR PM31A -32.3797 20.8117 32.7186 -4.739 7689.04654936686 5418 5 L 3.44678374942981 0.0306349472016557
SUR PM08 -32.3797 20.8117 35.1448 -4.7082 7935.98344684424 5376 5 L 3.50850865538113 0.051077156417211
SUR PM02 -32.3797 20.8117 35.6101 -5.3471 8006.11920914959 5124 5 L 3.81762770832226 0.0794831416883453
SUR PM10 -32.3797 20.8117 34.7379 -5.1368 7909.59207770171 5112 5 L 3.64431813019369 0.0378609382660269
SUR PM17 -32.3797 20.8117 34.3914 -5.2954 7879.96919204026 5070 5 L 3.81158045828248 0.0532825588799455
SUR PM16 -32.3797 20.8117 35.1304 -3.6948 7899.56623269196 4932 5 L 3.35072710357688 0.0939001561999887
SUR PM18 -32.3797 20.8117 34.15 -4.8195 7838.16755219174 4680 5 L 3.87594281149298 0.0550156342898422
SUR PM22B -32.3797 20.8117 33.3079 -5.1024 7762.48630324857 4614 5 L 3.62247508600123 0.0587044704531417
SUR PM37 -32.3797 20.8117 34.9507 -3.1506 7862.75743711441 4404 5 L 3.20774229273303 0.0301246330279491
SUR PM39 -32.3797 20.8117 34.889 -2.6104 7838.56264832291 4380 5 L 3.47092334851759 0.0230488160211559
SUR PM36 -32.3797 20.8117 34.8894 -3.7359 7876.14403830685 4224 5 L 3.84430879269539 0.0194764289567049
SUR CM26 -32.3797 20.8117 7.265 13.548 4454.53348080862 4176 5 L 3.2259217809724 0.0170708047147859
SUR CM18 -32.3797 20.8117 5.723 9.355 4388.03041073764 4158 5 L 3.22766429781655 0.0435698684103899
SUR CM06 -32.3797 20.8117 2.385 11.268 3977.24398268557 3642 5 L 3.31110228665041 0.0923379642103244
SUR PM20 -32.3797 20.8117 33.9064 -5.0329 7820.98498106518 3630 5 L 3.43020739132958 0.0184816320124136
SUR PM38 -32.3797 20.8117 34.8385 -2.8737 7841.97818422503 3528 5 L 3.90488096867989 0.0979748378356085
SUR CM07 -32.3797 20.8117 3.87 11.456 4132.00930694257 3486 5 L 3.4388699731261 0.0111119223440599
SUR PM40 -32.3797 20.8117 34.9075 -2.2104 7827.5242662596 3420 5 L 3.25806469591207 0.0408719846112552
SUR CM32 -32.3797 20.8117 10.619 14.372 4807.37249819655 3372 5 L 3.59489607400861 0.0262211747780845
SUR PM09 -32.3797 20.8117 35.0273 -5.1145 7938.34152026008 3366 5 L 3.60284308938208 0.0711215780433683
SUR CM29 -32.3797 20.8117 9.347 13.385 4684.61077755193 3198 5 L 3.22174673401724 0.0117417650855806
SUR PM22 -32.3797 20.8117 33.2947 -5.1071 7761.31363227051 2970 5 L 3.29667587321833 0.0318778301925882
SUR CM24 -32.3797 20.8117 6.523 14.288 4360.49912569345 2226 5 L 3.42416675971381 0.0507858284661118
SUR CM12 -32.3797 20.8117 4.481 11.634 4193.42134614261 2214 5 L 3.08551579709004 0.0262482234698333
SUR CM17 -32.3797 20.8117 5.546 12.312 4292.71850315972 2214 5 L 3.80101462276974 0.00292202775621463
SUR CM15 -32.3797 20.8117 5.034 9.933 4297.79469980706 2178 5 L 3.92885413947804 0.0730330862855453
SUR CM22 -32.3797 20.8117 6.477 13.268 4373.95446109168 2160 5 L 3.48860897380358 0.0578525061023439
SUR CM21 -32.3797 20.8117 6.467 12.62 4385.95536633062 2154 5 L 3.23728357977152 0.0458848828179931
SUR CM14 -32.3797 20.8117 4.422 14.358 4129.76114157153 2136 5 L 3.96308853928691 0.0546805718738968
SUR CM30 -32.3797 20.8117 9.757 13.95 4719.69326887961 2130 5 L 3.521135830804 0.0231594386708524
SUR CM11 -32.3797 20.8117 3.98 13.188 4103.9963961431 2124 5 L 3.48889774392017 0.062406008817369
SUR CM19 -32.3797 20.8117 5.975 11.232 4364.40159066996 2124 5 L 3.67913554086575 0.0395515215668593
SUR CM23 -32.3797 20.8117 6.37 10.793 4417.9546327162 2118 5 L 3.36743664854448 0.0987982003161633
SUR CM31 -32.3797 20.8117 10.327 15.262 4762.72436071671 2118 5 L 3.03773886623955 0.0885168008202475
SUR CM16 -32.3797 20.8117 5.48 10.572 4328.03652882181 2082 5 L 3.91328682763924 0.0796183873585212
SUR PM33A -32.3797 20.8117 31.414 -4.2897 7539.28191619945 2076 5 L 3.09871227865557 0.0261871183870716
SUR PM30A -32.3797 20.8117 31.823 -4.2715 7580.42147441302 2052 5 L 3.3353568399628 0.0679727951377338
SUR CM10 -32.3797 20.8117 4.223 10.619 4191.91065217014 2034 5 L 3.13655313735537 0.072122749858174
SUR CM20 -32.3797 20.8117 6.225 10.054 4421.90311336825 1986 5 L 3.10676186160724 0.065375734866856
SUR CM25 -32.3797 20.8117 6.76 11.811 4435.44687680217 1812 5 L 3.49417393663927 0.0779051723231275
SUR CM13 -32.3797 20.8117 4.588 9.462 4263.89607355402 1686 5 L 3.71503707840069 0.0903720560556316
SUR CM03 -32.3797 20.8117 3.519 15.034 4019.71349672948 1590 5 L 3.89092250433079 0.0334163052737496
SUR CM28 -32.3797 20.8117 8.469 13.237 4591.55568984689 1428 5 L 3.69874583233479 0.0197809826685929
SUR CM04 -32.3797 20.8117 2.979 11.959 4023.45942617157 1422 5 L 3.03054094630464 0.0744074260367462
SUR CM08 -32.3797 20.8117 3.909 9.863 4179.67458853633 1254 5 L 3.5000224355902 0.0479922141146061
SUR CM02 -32.3797 20.8117 2.698 13.289 3962.66208792975 1206 5 L 3.90472223806736 0.0609866648422558
SUR PM31 -32.3797 20.8117 32.7063 -4.7195 7687.07651612548 852 5 L 3.61766638958845 0.0859442305646212
SUR CM27 -32.3797 20.8117 7.359 12.667 4481.87590162898 492 5 L 3.80548942452969 0.0576721515614685
SUR ABAE -32.3797 20.8117 13.3535 39.76355 5448.69945909058 7044 5 L 3.18292246941491 0.0239932010568717
SUR KOZE -32.3797 20.8117 12.49478 40.98489 5410.60874594111 6636 5 L 3.8865119330761 0.00286741524641061
SUR AFME -32.3797 20.8117 13.20396 40.858479 5477.69156968686 6282 5 L 3.48990138851222 0.0167927145682257
SUR ERTE -32.3797 20.8117 13.4463 40.496899 5487.6335208554 4560 5 L 3.97868064964116 0.0712694471678914
SUR IGRE -32.3797 20.8117 12.25259 40.461231 5363.94517610637 4440 5 L 3.50047162415484 0.0471088374541939
SUR DALE -32.3797 20.8117 14.22897 40.217831 5556.81494563605 4152 5 L 3.05961886757964 0.0681971904149063
SUR SAHE -32.3797 20.8117 12.04015 40.976952 5363.96205150703 4134 5 L 3.04243113750074 0.00714454646006424
SUR GALE -32.3797 20.8117 13.72514 40.394009 5512.0725243612 3984 5 L 3.52164984246428 0.0096730025780867
SUR HALE -32.3797 20.8117 13.84221 40.007721 5508.68299717812 3984 5 L 3.81814855385962 0.0817547092079286
SUR TRUE -32.3797 20.8117 12.48125 40.314812 5381.29734666265 3888 5 L 3.72243959236684 0.0149865442477967
SUR HITE -32.3797 20.8117 13.10124 40.31691 5444.92904166763 3318 5 L 3.65960525290831 0.0518594942510538
SUR AHME -32.3797 20.8117 14.08887 40.2784 5544.81065839364 2928 5 L 3.97297455476386 0.0648991492712356
SUR LULE -32.3797 20.8117 11.98922 40.703701 5347.19257535143 2922 5 L 3.8003305753524 0.045379770872692
SUR SEME -32.3797 20.8117 11.79258 41.00433 5339.93864295702 2850 5 L 3.43239150378346 0.0825313795402046
SUR GULE -32.3797 20.8117 13.69449 39.588539 5477.00836906463 2688 5 L 3.08346981485891 0.0133171007607162
SUR ASYE -32.3797 20.8117 11.5607 41.4422 5335.36580690137 2646 5 L 3.17338861311901 0.0390937802323736
SUR MAYE -32.3797 20.8117 12.7832 39.534302 5380.88470232212 2436 5 L 3.83137974283907 0.080336439160244
SUR FINE -32.3797 20.8117 12.06812 40.315971 5339.0545335728 2400 5 L 3.06047117916989 0.0399257770613576
SUR GPSE -32.3797 20.8117 13.48817 40.528332 5493.20560619146 1866 5 L 3.5268758305083 0.0416799467930787
SUR BIME -32.3797 20.8117 12.84183 40.98386 5445.95251373469 792 5 L 3.65685989097371 0.0627973359190104
SUR BTIE -32.3797 20.8117 11.1949 40.021801 5237.51731737915 762 5 L 3.29198407996171 0.043165117024872
SUR DAME -32.3797 20.8117 11.68684 40.96249 5327.3904262831 258 5 L 3.01548712563602 0.0984063724379154
SUR LAVE -32.3797 20.8117 13.60449 40.65789 5510.41124724947 0 5 L 3.16716840991466 0.0106216344928664
SUR OTJO -32.3797 20.8117 -20.018 15.9799 1451.69967143414 6708 5 L 3.37240974005554 0.0198118402542975
SUR BAHE -32.3797 20.8117 -21.3521 15.4405 1332.78555031438 6684 5 L 3.48968763801602 0.0339493413390758
SUR GAMM -32.3797 20.8117 -20.2505 20.8253 1343.86003037701 6666 5 L 3.95163046477773 0.0920332039836564
SUR HOCH -32.3797 20.8117 -21.4902 17.8531 1241.67788958406 6660 5 L 3.05267699768079 0.0737858095516997
SUR KANO -32.3797 20.8117 -19.1949 19.4398 1467.13312763808 5730 5 L 3.26911942639856 0.0422835615008808
SUR HAO -32.3797 20.8117 -17.8869 15.0599 1706.16342607047 5052 5 L 3.54787090121484 0.0942736984276934
SUR WEWE -32.3797 20.8117 -21.209 16.8091 1299.80913331526 4914 5 L 3.41774410431666 0.0983052466469856
SUR NEPA -32.3797 20.8117 -17.7703 18.4597 1635.54656263558 4464 5 L 3.30145494871207 0.0701098755900926
SUR OMUT -32.3797 20.8117 -18.4093 16.6364 1603.22418721843 4374 5 L 3.66633885158443 0.0539126465042857
SUR OKAM -32.3797 20.8117 -20.4073 18.2187 1351.34009669296 3918 5 L 3.69810552018031 0.0666527913402587
SUR KETS -32.3797 20.8117 -26.841192 17.9436 673.762733225111 2034 5 L 3.17813245440034 0.0128014399720173
SUR AIAI -32.3797 20.8117 -27.915555 17.491323 589.170436553208 2028 5 L 3.99908039476136 0.0171121066356432
SUR HELM -32.3797 20.8117 -25.880621 16.828016 817.845221298203 2016 5 L 3.03260082053053 0.056119979270966
SUR MARI -32.3797 20.8117 -24.598499 17.931368 907.192915957005 2010 5 L 3.88186650045181 0.0669175304534394
SUR SOLI -32.3797 20.8117 -23.861238 16.039537 1053.69392241328 1986 5 L 3.19043326717995 0.0368916546063895
SUR ARON -32.3797 20.8117 -24.135472 19.11996 928.574397168521 1980 5 L 3.46072593726041 0.098163795097075
SUR WAND -32.3797 20.8117 -24.649983 19.743596 863.013583431954 1944 5 L 3.15640495222656 0.0855522805845911
SUR AROB -32.3797 20.8117 -26.798342 19.647346 628.855277371996 1320 5 L 3.64476453687009 0.0376272210278832
SUR MALT -32.3797 20.8117 -24.846022 16.996233 914.334796777723 1254 5 L 3.1909236952363 0.0428252992979386
SUR TRUE -32.3797 20.8117 12.4841 40.3161 5381.64216332447 5604 5 L 3.48202206103186 0.0120611613297162
SUR DIGE -32.3797 20.8117 12.3279 40.2734 5363.88957630619 5592 5 L 3.58950748469506 0.0226187679752676
SUR FINE -32.3797 20.8117 12.0681 40.316 5339.05368790164 5580 5 L 3.38461912436941 0.0582986382747674
SUR SEME -32.3797 20.8117 11.7926 41.0044 5339.94367598954 5574 5 L 3.25180612247231 0.0290440664276979
SUR CHIE -32.3797 20.8117 11.5979 40.0188 5278.6450826441 5562 5 L 3.61709088439322 0.0265280909810029
SUR MILE -32.3797 20.8117 11.4238 40.765 5292.17660847196 5526 5 L 3.82437626668884 0.098266339972195
SUR AFME -32.3797 20.8117 13.204 40.8585 5477.69652936387 5304 5 L 3.7302487922676 0.0343877004114983
SUR SILE -32.3797 20.8117 12.407 41.1879 5410.29388783995 4794 5 L 3.58406933327845 0.0107769015243743
SUR SEHE -32.3797 20.8117 12.0401 40.9769 5363.95474605234 4230 5 L 3.90630815064973 0.0879653724481905
SUR HARE -32.3797 20.8117 11.6072 40.884 5315.92802368278 4170 5 L 3.81776055937064 0.0260727999055465
SUR BREE -32.3797 20.8117 12.1704 41.1883 5386.24627524174 3378 5 L 3.59435625066433 0.00225125927402318
SUR RODE -32.3797 20.8117 12.8415 40.9826 5445.86592477752 3090 5 L 3.42525932021413 0.0312718886820616
SUR AWEE -32.3797 20.8117 12.0673 40.0719 5328.91965307224 2874 5 L 3.16148474431175 0.0178766186752368
SUR BARE -32.3797 20.8117 12.6443 40.3556 5399.67258463595 2256 5 L 3.42288568910008 0.00942293388877347
SUR DAME -32.3797 20.8117 11.6868 40.9625 5327.38678593885 2148 5 L 3.59852366875674 0.0470924256358334
SUR BERE -32.3797 20.8117 12.1707 41.1886 5386.28964079658 876 5 L 3.69594931330161 0.0699887849928292
SUR MEGE -32.3797 20.8117 11.4906 41.3381 5323.70963445651 156 5 L 3.63853075827184 0.00336038360664295
SUR ALEE -32.3797 20.8117 12.4106 40.5982 5385.79284382813 48 5 L 3.06880609911805 0.0319599735180496
SUR SULE -32.3797 20.8117 12.7351 41.1396 5441.64198626192 12 5 L 3.53086428069413 0.0654445707757066
SUR NYLS -32.3797 20.8117 -24.659246 28.703229 1151.92319858303 5496 5 L 3.40761919704115 0.0819981222781941
SUR LESE -32.3797 20.8117 -24.415185 29.744509 1242.0903113564 5160 5 L 3.71835894320588 0.0968649330231094
SUR MARK -32.3797 20.8117 -23.589013 28.391223 1225.90010364553 5016 5 L 3.53133390656567 0.032514568182056
SUR MARA -32.3797 20.8117 -24.461632 27.575478 1099.00366984369 2634 5 L 3.10562920332902 0.0610958658746201
SUR NYAT -32.3797 20.8117 -25.36745 27.5669 1018.4246076783 2634 5 L 3.77880224182409 0.0423452918962738
SUR VERL -32.3797 20.8117 -24.789976 28.378838 1119.75458674709 2556 5 L 3.09082328578744 0.0266471490779072
SUR MRCO -32.3797 20.8117 -25.47234 26.400268 939.317173821376 2544 5 L 3.15365671759131 0.0281005302533871
SUR HOED -32.3797 20.8117 -24.41274 30.93244 1326.56509728704 2484 5 L 3.44008513900172 0.0527142741760652
SUR NHAM -32.3797 20.8117 -24.91566 27.31703 1042.90888913483 2382 5 L 3.45742436568767 0.0875371598604185
SUR MPHEP -32.3797 20.8117 -22.90655 30.17492 1397.07947265794 2352 5 L 3.5180521083611 0.0943622624548388
SUR DULL -32.3797 20.8117 -25.36478 30.17588 1198.6040147148 2340 5 L 3.63770909807217 0.0957693939841583
SUR SCHUN -32.3797 20.8117 -24.825484 29.361029 1182.36303852383 2202 5 L 3.24070703548016 0.0676122303863752
SUR SHUDU -32.3797 20.8117 -24.37585 28.15278 1141.42368035229 2172 5 L 3.28906457167448 0.0671808165414215
SUR WTBG -32.3797 20.8117 -24.2119 28.88291 1201.66013913579 2160 5 L 3.69514049955174 0.00679927684700106
SUR RUST -32.3797 20.8117 -25.23919 28.52397 1091.56209833275 2106 5 L 3.25479015659701 0.0224040030824219
SUR TZAN -32.3797 20.8117 -23.928297 30.173907 1311.32671312784 2100 5 L 3.66783272701372 0.0844392156527205
SUR CRAIL -32.3797 20.8117 -22.80259 28.24304 1289.25968384487 1818 5 L 3.34446241130104 0.0780519652731358
SUR WALT -32.3797 20.8117 -26.090527 27.84521 975.932472794189 1710 5 L 3.675332065747 0.000671531431847749
SUR MTLB -32.3797 20.8117 -23.81433 27.05694 1129.751196324 1554 5 L 3.6021704875818 0.0386771194520985
SUR PUMBA -32.3797 20.8117 -23.700916 29.527368 1287.0626952762 1302 5 L 3.91599124413143 0.000115105712910724
SUR TSWA -32.3797 20.8117 -25.42153 28.07967 1046.85365416046 1098 5 L 3.46244915924233 0.0424349039815375
SUR KEIT -32.3797 20.8117 -23.399585 28.875164 1272.04533465712 1032 5 L 3.46091636602896 0.0770159728608609
SUR VOET -32.3797 20.8117 -25.456695 29.438377 1137.75240509201 306 5 L 3.32247180718678 0.0784739294760742
SUR KGMA -32.3797 20.8117 -4.878 29.633 3180.13252599682 5196 5 L 3.47135715371061 0.00357627332691179
SUR MAUS -32.3797 20.8117 -2.741 36.704 3677.75966249072 5190 5 L 3.17587441568353 0.0721758033391103
SUR PNDA -32.3797 20.8117 -6.3519 31.0613 3071.67401998359 3186 5 L 3.47348599296532 0.0152721200438232
SUR MIKU -32.3797 20.8117 -7.4035 36.9902 3232.81764242686 3042 5 L 3.34112460704911 0.0607389213768347
SUR MAKA -32.3797 20.8117 -8.8465 34.8302 2980.01340284441 3018 5 L 3.1917452554618 0.0738426839976942
